KillDeathRatio,HeadshotKillRatio,WinRatio,Top10Ratio
1.43,0.43,0.16,8.2
1.04,0.37,1.23,8.6
0.64,0.13,0.0,13.7
1.34,0.15,1.85,6.5
1.7,0.28,3.33,15.6
0.92,0.23,2.54,11.0
0.86,0.19,1.16,14.0
0.89,0.23,0.0,8.8
2.32,0.22,8.88,21.3
0.91,0.2,0.0,16.6
0.61,0.27,0.42,8.8
1.15,0.24,1.87,12.1
1.55,0.19,0.58,7.3
1.37,0.23,2.41,12.0
1.04,0.25,0.0,1.0
1.82,0.24,4.83,18.4
1.72,0.22,7.41,29.6
2.31,0.31,3.76,14.7
1.62,0.29,1.74,18.3
0.79,0.16,1.11,16.7
1.64,0.25,2.61,10.0
1.24,0.18,4.24,17.8
0.73,0.2,1.62,8.1
1.12,0.23,2.8,11.2
2.01,0.23,4.88,18.3
2.78,0.23,7.14,23.5
1.2,0.23,1.65,7.4
1.33,0.16,0.0,12.4
1.44,0.24,2.78,24.3
1.93,0.24,3.78,16.8
1.32,0.12,0.0,10.1
1.81,0.2,5.26,37.9
0.59,0.19,0.0,7.2
1.78,0.18,2.41,13.3
0.91,0.15,1.41,13.4
1.18,0.19,1.2,19.3
1.41,0.24,6.11,26.7
2.05,0.15,1.87,26.2
2.25,0.29,1.25,16.2
1.56,0.1,14.96,59.1
2.2,0.18,5.62,19.1
1.35,0.14,0.76,11.5
1.53,0.16,2.0,13.0
2.11,0.21,4.72,34.0
1.01,0.23,1.48,18.5
2.48,0.24,3.23,9.1
0.57,0.15,1.23,22.2
1.99,0.21,5.48,19.2
1.28,0.21,0.94,15.1
0.78,0.18,1.8,10.8
0.59,0.17,0.44,7.3
1.39,0.21,3.51,13.2
1.29,0.3,0.52,14.0
0.59,0.14,0.0,10.8
0.74,0.14,0.67,17.4
0.84,0.17,0.25,6.5
0.92,0.21,1.45,12.6
0.64,0.16,0.96,9.1
1.76,0.14,3.91,12.5
1.5,0.3,0.0,12.0
0.87,0.21,0.0,15.7
2.23,0.22,5.83,31.1
0.9,0.17,3.11,31.6
1.37,0.21,0.0,15.5
1.25,0.27,0.0,3.2
0.4,0.15,0.55,17.6
1.15,0.27,2.2,20.9
0.94,0.21,0.87,10.0
1.09,0.23,4.9,15.7
0.5,0.2,0.0,23.2
0.75,0.25,0.63,7.5
1.2,0.18,1.34,9.4
0.59,0.13,2.78,10.4
1.35,0.14,1.91,14.6
1.24,0.19,0.71,10.7
0.47,0.2,0.0,10.6
0.62,0.19,1.08,17.3
2.33,0.26,2.59,14.7
0.79,0.17,0.0,8.4
1.23,0.16,0.0,17.8
1.01,0.18,1.18,11.2
1.05,0.21,1.22,15.9
1.1,0.19,1.06,7.7
0.59,0.31,0.0,4.5
0.77,0.15,1.04,11.5
0.92,0.23,2.17,18.1
0.65,0.23,0.43,20.5
1.5,0.29,1.16,5.2
0.85,0.15,0.56,9.6
0.96,0.19,0.33,6.5
1.03,0.21,1.9,14.8
1.2,0.12,0.53,8.4
1.61,0.27,2.2,14.8
1.17,0.17,1.21,6.7
1.33,0.17,1.34,8.7
1.04,0.19,0.0,5.4
1.0,0.26,0.0,16.0
0.66,0.15,0.52,15.7
1.11,0.22,1.16,9.9
0.89,0.14,1.04,18.8
1.56,0.19,2.6,14.3
1.91,0.18,4.82,16.9
0.91,0.24,0.0,7.7
1.02,0.22,0.0,6.8
1.33,0.2,0.0,5.6
1.39,0.18,0.0,11.2
1.46,0.14,1.45,10.1
1.99,0.19,3.7,21.0
0.86,0.17,2.44,9.8
3.19,0.22,5.56,25.6
1.02,0.26,0.8,15.2
0.67,0.24,0.0,12.0
1.5,0.17,1.21,9.0
1.21,0.14,1.95,13.0
0.96,0.22,0.37,11.4
1.7,0.2,2.0,10.5
0.61,0.2,0.0,21.7
0.78,0.27,0.0,13.3
1.84,0.22,5.1,20.4
1.08,0.23,0.79,17.5
0.97,0.21,0.0,5.3
0.76,0.18,0.0,10.9
1.24,0.17,0.81,15.4
1.33,0.23,1.8,7.2
1.39,0.14,2.68,19.5
0.93,0.16,0.0,4.6
4.92,0.19,16.28,38.4
1.27,0.25,0.93,9.3
1.91,0.19,4.32,20.4
1.14,0.21,1.99,6.6
3.18,0.25,8.04,17.5
1.78,0.17,1.43,3.6
0.87,0.25,1.09,14.1
0.9,0.23,1.32,13.8
1.17,0.26,1.41,6.3
1.25,0.17,2.94,16.7
1.49,0.19,5.0,19.3
1.33,0.08,0.0,11.6
1.06,0.2,2.32,20.8
1.08,0.18,0.0,7.1
1.97,0.28,1.98,6.9
5.59,0.55,11.22,22.4
0.51,0.22,0.41,14.0
1.03,0.23,2.54,13.6
1.73,0.22,4.76,21.4
1.15,0.3,0.33,9.9
0.94,0.21,1.06,7.4
1.26,0.13,2.41,16.9
0.6,0.2,0.0,7.4
1.57,0.19,1.02,8.2
4.19,0.35,6.1,11.0
1.38,0.18,1.23,9.9
1.23,0.3,2.17,17.4
1.25,0.19,0.89,28.6
0.86,0.2,1.9,15.2
1.91,0.14,4.88,18.7
0.89,0.23,1.6,10.4
1.39,0.18,2.64,16.5
0.75,0.17,1.98,21.8
1.17,0.18,3.74,15.0
0.9,0.16,1.46,8.8
1.17,0.19,4.3,16.1
0.91,0.26,0.69,9.0
0.96,0.25,0.93,4.6
1.37,0.21,0.62,13.1
1.27,0.27,3.88,18.4
0.66,0.24,0.56,13.9
1.08,0.17,1.19,9.5
0.94,0.22,1.48,37.0
1.16,0.13,1.7,9.7
0.53,0.23,4.76,21.4
1.37,0.29,1.88,11.9
1.69,0.32,0.77,8.8
1.18,0.16,1.11,5.2
3.28,0.2,10.0,30.0
0.81,0.16,0.0,16.4
1.68,0.3,2.13,12.1
1.33,0.26,2.25,9.0
1.4,0.24,1.06,6.4
0.89,0.23,0.0,10.5
1.81,0.2,1.98,9.9
0.84,0.23,1.95,11.7
1.51,0.19,1.85,5.6
0.95,0.25,2.22,13.3
1.02,0.2,0.0,10.2
0.71,0.28,0.0,2.8
1.49,0.29,3.12,8.3
1.02,0.19,0.0,6.2
1.4,0.21,0.67,9.3
1.22,0.24,0.0,14.3
0.94,0.15,1.22,11.0
1.53,0.2,0.81,13.0
0.83,0.16,0.8,10.9
0.73,0.2,0.45,12.6
1.31,0.26,1.16,13.4
1.4,0.22,3.23,21.5
1.54,0.2,0.94,12.3
1.47,0.28,2.51,8.6
1.14,0.26,2.82,18.3
0.73,0.13,0.0,5.5
1.09,0.18,2.06,16.5
0.97,0.25,0.4,4.0
0.85,0.19,2.26,17.3
0.69,0.32,0.0,6.1
0.9,0.13,0.0,12.9
0.93,0.21,1.53,12.8
0.99,0.19,1.31,7.8
0.73,0.2,0.0,14.3
1.73,0.28,2.42,20.2
1.29,0.16,4.04,22.2
0.92,0.29,1.51,12.1
1.12,0.17,0.0,5.8
1.4,0.17,3.85,23.1
1.44,0.21,4.04,15.2
1.05,0.23,2.11,8.4
1.22,0.27,2.68,17.0
1.38,0.18,2.88,14.4
1.11,0.17,1.12,10.1
0.66,0.18,1.0,11.4
1.18,0.14,0.99,22.8
0.66,0.29,1.61,12.1
1.4,0.19,2.53,15.2
0.33,0.24,2.26,22.1
1.36,0.21,0.48,4.8
1.27,0.17,1.12,11.2
1.18,0.18,0.54,11.4
0.96,0.19,2.84,19.1
1.3,0.18,2.22,7.8
1.25,0.13,0.85,8.5
1.49,0.22,2.34,9.7
1.56,0.21,3.7,18.5
1.45,0.25,1.6,15.0
1.03,0.13,1.05,8.0
1.69,0.14,4.94,13.6
1.14,0.24,4.0,33.0
0.41,0.21,0.84,20.2
1.63,0.24,2.26,12.4
2.27,0.27,2.75,20.2
1.17,0.22,0.48,10.5
1.26,0.19,0.0,10.2
0.46,0.15,1.2,17.1
1.19,0.21,1.8,9.0
0.82,0.15,1.04,13.5
2.6,0.24,8.33,29.5
0.99,0.19,1.28,11.9
0.96,0.04,0.84,20.2
1.45,0.13,4.4,17.6
0.81,0.16,0.0,10.3
1.27,0.17,2.27,17.0
1.33,0.21,4.85,26.9
0.88,0.23,0.78,10.9
0.95,0.29,0.0,8.0
1.09,0.17,2.73,17.3
0.58,0.11,2.41,16.9
0.84,0.2,1.2,22.9
1.06,0.18,0.0,9.1
1.09,0.32,0.0,10.3
1.0,0.21,1.0,14.0
1.15,0.22,1.68,22.9
1.26,0.25,2.36,7.1
2.83,0.22,11.81,38.4
0.97,0.17,0.0,7.4
1.91,0.25,8.05,36.8
1.04,0.27,3.7,23.0
1.07,0.18,0.0,14.1
0.97,0.14,0.0,5.8
0.69,0.16,0.0,13.6
0.91,0.13,0.0,15.3
2.13,0.3,4.57,28.9
1.79,0.15,4.44,27.8
1.12,0.2,1.22,10.6
0.83,0.22,0.53,13.9
0.94,0.24,2.99,9.6
1.61,0.15,1.89,13.2
0.62,0.14,0.0,14.0
1.53,0.21,3.64,21.2
0.94,0.14,1.68,13.4
1.53,0.29,2.74,13.2
1.01,0.2,0.84,10.1
0.87,0.17,0.0,10.8
0.8,0.2,0.5,12.9
0.87,0.18,0.0,5.9
0.9,0.16,1.32,18.4
0.8,0.18,0.0,9.9
1.13,0.13,0.51,8.2
1.21,0.17,1.2,13.9
0.83,0.13,3.02,16.2
0.99,0.14,2.59,10.3
0.69,0.12,1.03,9.2
1.13,0.37,0.65,6.5
0.91,0.24,0.94,10.8
1.15,0.32,2.11,10.5
0.66,0.17,1.09,10.9
1.95,0.2,5.13,25.0
0.68,0.15,1.6,8.4
1.03,0.28,0.0,11.6
1.36,0.26,2.71,7.2
0.91,0.2,0.46,5.5
0.75,0.17,1.12,8.6
3.84,0.19,13.01,31.7
0.63,0.19,0.42,9.7
0.89,0.17,2.9,12.3
1.18,0.18,1.89,10.4
1.36,0.21,0.7,8.6
0.77,0.22,0.72,10.6
1.42,0.27,3.47,20.3
1.61,0.25,5.83,37.7
1.02,0.25,0.99,13.9
1.17,0.11,3.37,23.6
0.92,0.12,2.44,15.9
0.9,0.17,1.58,18.4
1.96,0.2,3.26,12.0
1.08,0.09,0.87,14.8
1.77,0.17,4.82,21.7
0.59,0.1,0.0,13.6
0.61,0.21,0.43,8.2
0.91,0.17,0.31,9.5
1.55,0.21,1.47,12.7
7.98,0.47,18.26,33.0
1.47,0.25,3.33,10.8
0.99,0.18,2.35,11.2
0.91,0.25,0.71,5.0
0.73,0.22,0.76,14.4
0.64,0.2,0.0,10.9
1.08,0.19,2.08,16.0
1.93,0.25,3.23,16.1
3.53,0.2,25.16,67.3
1.12,0.19,0.78,7.8
2.48,0.2,8.33,32.6
2.36,0.17,2.78,22.2
1.57,0.28,0.0,13.3
1.26,0.19,0.53,18.2
1.01,0.17,0.6,4.8
1.35,0.26,2.8,6.3
1.67,0.18,0.88,14.0
0.4,0.26,0.84,20.2
1.39,0.12,1.12,14.6
1.72,0.26,3.87,12.7
0.66,0.25,1.09,8.7
1.1,0.2,2.11,13.7
1.0,0.26,4.81,19.2
2.41,0.23,10.98,53.7
1.44,0.23,1.84,9.2
1.01,0.23,0.96,13.5
1.07,0.14,0.38,7.5
1.6,0.19,4.62,33.8
1.36,0.18,2.52,16.9
1.94,0.23,7.63,17.8
1.89,0.24,9.71,32.0
1.01,0.25,0.49,3.2
0.85,0.21,1.86,5.9
1.01,0.16,2.44,14.6
1.58,0.25,2.16,17.3
1.43,0.26,0.61,9.7
1.27,0.26,1.08,16.1
0.71,0.33,1.41,9.9
1.54,0.24,2.19,15.3
1.19,0.21,0.0,6.9
0.56,0.11,0.0,8.5
1.51,0.27,3.61,21.7
0.55,0.18,1.6,15.2
0.93,0.15,4.4,13.2
1.48,0.23,1.69,11.9
1.25,0.21,2.68,10.1
1.42,0.29,2.67,19.3
1.64,0.19,3.17,7.1
1.55,0.25,2.36,8.5
1.25,0.21,3.03,17.2
1.99,0.21,1.88,6.9
1.0,0.18,1.05,4.2
1.42,0.24,1.12,14.6
1.3,0.31,2.38,16.7
0.63,0.16,1.68,15.1
1.87,0.2,1.96,6.9
1.01,0.11,3.26,29.3
1.94,0.21,4.88,15.9
1.61,0.22,3.32,21.3
1.51,0.31,2.1,11.7
1.42,0.15,0.61,8.5
0.91,0.2,2.44,13.8
0.99,0.16,2.9,18.8
0.78,0.18,0.49,15.3
1.06,0.25,0.74,14.1
0.5,0.23,1.15,6.9
0.92,0.22,0.63,12.7
1.63,0.24,4.72,21.7
0.87,0.15,3.65,26.9
1.44,0.25,1.98,12.3
2.48,0.32,5.34,24.8
1.95,0.28,4.12,17.5
1.1,0.15,0.0,8.3
3.26,0.25,1.53,3.1
1.07,0.17,1.89,18.9
1.51,0.25,0.0,14.8
1.12,0.15,2.17,16.3
0.87,0.24,2.17,14.1
1.06,0.23,1.94,18.4
0.93,0.12,2.35,11.8
1.6,0.09,1.06,12.8
1.9,0.18,4.88,22.0
1.1,0.18,0.0,8.5
1.39,0.27,2.59,13.8
1.47,0.18,2.68,27.7
0.97,0.2,0.87,5.2
1.6,0.2,1.65,12.4
1.13,0.22,1.05,15.8
1.57,0.25,2.39,23.3
0.85,0.15,0.0,11.7
1.1,0.15,2.55,21.3
0.74,0.24,0.66,12.5
1.13,0.24,0.85,11.1
1.52,0.33,0.0,3.9
1.51,0.24,3.16,16.8
1.71,0.23,5.97,32.6
1.25,0.17,1.41,7.5
0.67,0.3,0.0,9.5
1.92,0.27,2.27,5.7
1.57,0.38,3.0,22.0
1.29,0.19,0.88,5.7
1.23,0.27,1.38,11.1
2.59,0.23,7.84,26.5
2.0,0.23,5.62,12.4
0.81,0.16,1.28,12.2
1.39,0.19,3.94,21.9
0.55,0.2,2.38,17.9
0.58,0.17,0.69,7.3
0.93,0.21,0.0,13.6
1.43,0.21,3.37,13.5
0.42,0.22,0.85,13.6
1.43,0.24,0.97,9.7
1.2,0.16,0.94,5.7
0.91,0.2,1.69,9.3
0.99,0.22,0.77,8.1
0.8,0.16,1.34,16.8
0.65,0.22,0.88,15.8
1.23,0.19,4.55,18.2
1.19,0.22,1.75,13.5
1.22,0.21,2.29,18.3
0.8,0.29,0.0,6.5
1.16,0.19,1.62,8.5
1.19,0.22,1.74,17.4
1.17,0.25,1.36,6.8
1.11,0.18,0.81,12.2
0.69,0.13,0.0,19.6
1.07,0.18,0.49,4.4
0.65,0.11,1.35,23.4
0.99,0.17,3.67,11.0
1.39,0.13,1.59,11.9
1.23,0.13,0.0,15.9
0.67,0.14,1.63,12.2
1.04,0.22,1.0,12.9
0.71,0.17,0.0,14.5
0.76,0.15,1.95,13.6
1.05,0.15,1.32,18.4
0.77,0.18,6.12,17.3
1.89,0.11,3.88,13.2
1.3,0.16,8.14,25.6
1.64,0.3,0.91,10.0
1.12,0.17,1.98,12.9
1.51,0.17,3.61,14.5
1.89,0.32,4.81,17.3
1.06,0.17,0.63,12.7
0.97,0.15,0.84,8.8
1.49,0.2,3.3,13.2
1.5,0.25,2.49,11.9
1.12,0.21,0.81,16.9
0.87,0.18,0.63,9.8
2.42,0.26,4.31,16.1
0.73,0.27,1.94,9.7
2.2,0.26,4.21,16.8
1.12,0.2,0.0,13.8
1.12,0.14,1.21,13.3
0.98,0.16,0.77,10.8
1.01,0.13,1.24,11.2
1.55,0.14,1.25,9.4
1.95,0.17,2.27,12.5
1.94,0.25,3.54,23.0
1.76,0.28,1.09,15.2
1.01,0.2,1.8,13.7
1.39,0.27,1.3,7.4
0.74,0.19,0.0,6.3
1.74,0.16,1.72,18.1
0.93,0.26,0.0,22.3
1.34,0.22,4.21,10.5
1.34,0.21,1.9,10.5
2.29,0.2,3.75,13.8
1.25,0.19,3.42,22.2
1.07,0.15,0.0,6.6
1.23,0.16,0.32,5.5
0.79,0.25,1.53,13.7
0.53,0.32,0.66,11.3
0.46,0.18,0.0,11.9
2.26,0.22,5.15,17.5
1.57,0.22,2.43,18.9
1.25,0.19,0.0,8.5
0.97,0.22,1.07,8.0
1.08,0.28,1.23,6.2
1.23,0.24,0.82,11.5
0.78,0.22,0.34,5.1
1.66,0.32,2.05,8.2
0.88,0.22,0.59,6.5
1.6,0.19,1.17,9.2
1.57,0.19,0.0,9.8
1.15,0.15,1.62,10.3
1.03,0.21,1.48,8.1
1.43,0.31,0.85,3.4
1.48,0.22,2.4,23.4
1.01,0.21,0.63,19.0
1.15,0.22,1.74,10.4
1.1,0.27,0.93,9.3
1.72,0.23,3.7,14.3
2.03,0.32,7.79,12.3
1.32,0.21,4.76,9.5
1.26,0.22,1.08,9.7
1.76,0.17,5.94,18.8
1.03,0.17,0.0,8.8
1.43,0.26,0.91,15.5
0.34,0.25,0.0,7.2
1.44,0.19,3.32,15.2
1.51,0.12,8.98,40.1
1.85,0.24,3.51,17.5
2.42,0.17,4.55,24.2
1.88,0.23,2.41,26.5
4.35,0.27,18.15,43.3
0.8,0.17,0.44,4.5
1.31,0.33,2.36,14.8
1.35,0.35,1.76,16.7
0.97,0.13,3.67,23.9
1.09,0.18,0.81,8.1
1.11,0.18,4.21,14.7
1.81,0.23,4.51,16.5
0.53,0.07,0.0,17.2
0.97,0.26,1.09,2.2
0.68,0.22,0.37,10.1
1.12,0.17,1.22,8.5
1.54,0.2,1.71,11.1
0.86,0.2,1.0,13.0
1.37,0.24,2.41,22.9
0.88,0.2,0.0,11.2
1.64,0.19,0.0,11.8
6.03,0.29,16.39,30.3
2.09,0.25,2.97,15.8
1.35,0.2,1.18,15.3
2.06,0.2,3.66,19.5
1.29,0.15,1.2,16.9
1.67,0.19,2.5,15.0
0.81,0.18,2.49,30.8
1.58,0.18,2.41,30.1
1.26,0.14,1.15,8.8
0.92,0.19,1.41,11.1
0.61,0.15,1.75,20.6
0.69,0.17,0.68,7.8
0.7,0.17,2.15,12.9
1.23,0.26,1.63,10.6
1.79,0.22,6.79,35.8
0.71,0.27,2.3,9.2
0.93,0.11,0.75,11.2
1.46,0.32,0.91,9.1
3.31,0.4,2.26,6.8
0.61,0.11,0.0,16.1
0.88,0.15,1.45,17.4
2.38,0.28,14.05,39.7
2.15,0.29,2.1,11.2
1.49,0.19,1.09,5.4
2.02,0.24,1.83,8.5
0.81,0.3,1.16,12.7
1.79,0.19,0.93,17.6
1.24,0.2,1.0,23.0
1.29,0.32,1.02,9.2
2.21,0.34,8.24,14.1
1.21,0.16,1.5,21.8
1.06,0.11,1.87,21.5
1.21,0.22,1.23,16.0
0.69,0.32,1.1,17.6
0.88,0.23,0.61,17.8
1.59,0.18,1.31,14.8
1.07,0.24,0.51,10.1
0.95,0.15,1.11,8.9
1.41,0.18,1.07,14.4
1.08,0.23,1.61,16.1
0.97,0.18,0.28,28.2
1.19,0.24,0.38,8.7
2.06,0.44,5.68,9.1
1.82,0.22,5.16,19.4
1.62,0.2,0.87,7.9
0.78,0.23,0.89,14.3
0.96,0.19,1.92,14.4
1.44,0.22,0.0,15.5
1.52,0.26,5.0,18.0
3.11,0.21,8.79,25.8
0.82,0.14,0.0,13.5
1.63,0.16,2.94,14.7
0.96,0.29,0.0,9.7
1.84,0.19,4.65,14.0
1.75,0.26,6.17,18.5
2.27,0.26,3.66,13.4
0.87,0.21,0.49,8.3
1.09,0.17,2.31,12.3
1.26,0.17,0.39,8.2
